라면,비빔냉면,1인분,632
라면,비빔면,1인분,487
밥,비빔밥,1인분,580
과자,빼빼로,1봉,163
과일,사과(후지),1개,171
음료,사과쥬스,1병,44
라면,사발면(컵라면),1인분,455
음료,사이다,1병,40
과일,살구,1개,24
밥,삼각김밥,,151
구이,삼겹살구이,1인분,199
탕,삼계탕,1인분,633
구이,삼치구이,1인분,138
밥,새우도리아,,740
밥,새우볶음밥,,437
찌개,새우젓두부찌개,1인분,63
밥,새우초밥,,56
라면,새우탕큰사발면,1인분,535
튀김,새우튀김,1인분,361
밥,새우튀김덮밥,,739
밥,새우필라프,,677
과자,생과자(셈베이),1봉,423
주류,생맥주,1잔(500cc),185
라면,생생면소고기,1인분,680
라면,생생우동,1인분,680
죽,생선그라탕,,414
조림,생선묵조림,1인분,116
밥,생선초밥,,55
빵,생크림케익,1인분,244
찌개,생태찌개,1인분,182
과자,샤브레,1봉,724
찜,샤브샤브,1인분,201
주류,샴페인,1잔(150cc),65
탕,설렁탕,1인분,460
밥,성게알초밥,,53
밥,소고기국밥,,433
빵,소보로빵,1인분,263
볶음,소세지야채볶음,1인분,459
주류,소주,1잔(50cc),90
김치,솎음배추겉절이,1인분,65
떡,송편,5개,215
찜,쇠갈비찜,1인분,249
국,쇠고기국,1인분,234
밥,쇠고기김밥,,512
밥,쇠고기덮밥,,459
구이,쇠고기로스구이,1인분,358
국,쇠고기무국,1인분,110
국,쇠고기미역국,1인분,95
밥,쇠고기볶음밥,,469
조림,쇠고기장조림,1인분,148
구이,쇠등심구이,1인분,170
과일,수박,1조각,39
밥,수수밥,1인분,363
라면,수제비,1인분,416
나물,숙주나물,1인분,23
밥,순대국밥,,492
볶음,순대볶음,1인분,197
찌개,순두부찌개,1인분,580
빵,슈크림빵,1인분,232
라면,스파게티,1인분,576
빵,스폰지케익,1인분,311
나물,시금치나물,1인분,44
국,시금치된장국,1인분,73
나물,시래기나물,1인분,48
국,시래기된장국,1인분,67
빵,식빵,1인분,298
음료,식혜,1캔,124
라면,신라면,1인분,526
밥,쌀밥,1인분,311
과자,썬칩,1봉,390
나물,쑥갓나물,1인분,32
찜,아구찜,1인분,168
과자,아몬드빼빼로,1봉,329
국,아욱국,1인분,84
음료,아침에오렌지쥬스,1병,118
주류,안동소주,1잔(50cc),160
밥,알밥,,267
찜,알찜,1인분,96
과자,애플잼 쿠키,1봉,261
빵,애플파이,1인분,254
볶음,애호박새우볶음,1인분,39
찜,애호박찜,1인분,48
밥,야끼밥,,391
밥,야채김밥,,484
밥,야채밥,1인분,331
빵,야채샌드위치,1인분,348
밥,야채죽,1인분,215
빵,야채호빵,1인분,254
과자,약과,1봉,271
떡,약식,1쪽,130
과자,양갱,1봉,273
찜,양배추찜,1인분,37
밥,양송이덮밥,,427
국,어묵국,1인분,97
볶음,어묵볶음,1인분,128
과자,에이스 크래커,1봉,632
조림,연근조림,1인분,100
밥,연어알초밥,,65
김치,열무김치,1인분,53
밥,열무비빔밥,,394
밥,영양돌솥밥,1인분,401
밥,오곡밥,1인분,373
과일,오렌지,1개,80
음료,오렌지쥬스,1병,41
밥,오므라이스,,544
밥,오믈렛,,152
과자,오예스,1봉,266
나물,오이도라지생채,1인분,56
나물,오이생채,1인분,46
